Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Cleveland-Elyria, OH","49,581","51,409","53,738",81,3.7,4.5,187,
"Coeur d'Alene, ID","41,370","43,129","44,987",212,4.3,4.3,228,
"College Station-Bryan, TX","36,050","37,569","39,533",327,4.2,5.2,86,
"Colorado Springs, CO","44,898","46,708","48,492",144,4.0,3.8,304,
"Columbia, MO","43,446","44,916","46,510",176,3.4,3.5,341,
"Columbia, SC","41,996","43,750","44,906",214,4.2,2.6,375,
"Columbus, GA-AL","38,047","39,407","41,067",294,3.6,4.2,246,
"Columbus, IN","46,205","47,987","49,922",121,3.9,4.0,278,
"Columbus, OH","48,006","49,338","51,165",105,2.8,3.7,320,
"Corpus Christi, TX","40,387","42,389","44,311",225,5.0,4.5,186,
"Corvallis, OR","43,623","44,519","47,019",165,2.1,5.6,55,
"Crestview-Fort Walton Beach-Destin, FL","47,828","49,800","51,655",101,4.1,3.7,319,
"Cumberland, MD-WV","37,583","38,342","40,049",316,2.0,4.5,202,
"Dallas-Fort Worth-Arlington, TX","51,263","53,391","55,886",63,4.2,4.7,160,
"Dalton, GA","33,983","34,984","36,316",370,2.9,3.8,307,
"Danville, IL","36,383","37,461","39,481",330,3.0,5.4,68,
"Daphne-Fairhope-Foley, AL","42,907","43,989","45,596",202,2.5,3.7,325,
"Davenport-Moline-Rock Island, IA-IL","45,762","47,295","49,172",133,3.3,4.0,291,
"Dayton-Kettering, OH","43,904","45,751","47,687",154,4.2,4.2,244,
"Decatur, AL","35,853","37,050","38,719",339,3.3,4.5,193,
"Decatur, IL","45,077","45,425","48,214",147,0.8,6.1,32,
"Deltona-Daytona Beach-Ormond Beach, FL","39,651","41,165","43,028",258,3.8,4.5,188,
"Denver-Aurora-Lakewood, CO","56,602","60,604","64,287",22,7.1,6.1,34,
"Des Moines-West Des Moines, IA","50,743","51,782","54,098",77,2.0,4.5,198,
"Detroit-Warren-Dearborn, MI","49,278","50,759","53,086",83,3.0,4.6,176,
"Dothan, AL","38,025","39,194","40,883",297,3.1,4.3,227,
"Dover, DE","39,074","40,438","42,023",276,3.5,3.9,293,
"Dubuque, IA","45,084","46,242","49,085",134,2.6,6.1,28,
"Duluth, MN-WI","42,392","43,835","46,250",181,3.4,5.5,61,
"Durham-Chapel Hill, NC","49,137","51,158","54,036",78,4.1,5.6,53,
"East Stroudsburg, PA","39,509","40,393","42,722",263,2.2,5.8,45,
"Eau Claire, WI","43,151","45,188","47,450",157,4.7,5.0,110,
"El Centro, CA","35,406","36,537","36,974",363,3.2,1.2,384,
"Elizabethtown-Fort Knox, KY","39,726","40,922","42,144",273,3.0,3.0,367,
"Elkhart-Goshen, IN","41,959","45,451","46,816",170,8.3,3.0,366,
"Elmira, NY","40,618","42,745","44,373",221,5.2,3.8,306,
"El Paso, TX","33,318","34,228","35,836",372,2.7,4.7,157,
"Enid, OK","43,530","42,493","44,465",220,-2.4,4.6,169,
"Erie, PA","41,156","42,308","44,903",215,2.8,6.1,33,
"Eugene-Springfield, OR","42,254","43,960","45,919",198,4.0,4.5,201,
"Evansville, IN-KY","43,752","45,436","47,313",159,3.8,4.1,265,
"Fairbanks, AK","52,803","53,974","56,606",55,2.2,4.9,125,
"Fargo, ND-MN","50,762","50,639","52,712",87,-0.2,4.1,271,
"Farmington, NM","33,070","33,613","35,453",376,1.6,5.5,64,
"Fayetteville, NC","34,255","35,245","36,903",365,2.9,4.7,155,
"Fayetteville-Springdale-Rogers, AR","60,394","62,633","65,306",18,3.7,4.3,237,
"Flagstaff, AZ","44,279","46,662","48,129",149,5.4,3.1,358,
"Flint, MI","38,398","39,380","41,068",293,2.6,4.3,233,
"Florence, SC","37,454","38,644","40,413",307,3.2,4.6,180,
"Florence-Muscle Shoals, AL","35,604","36,129","37,608",356,1.5,4.1,272,
"Fond du Lac, WI","44,346","46,203","48,126",150,4.2,4.2,261,
"Fort Collins, CO","48,225","51,497","54,188",73,6.8,5.2,87,
"Fort Smith, AR-OK","35,696","36,452","37,800",355,2.1,3.7,321,
"Fort Wayne, IN","43,072","44,050","46,141",187,2.3,4.7,144,
"Fresno, CA","40,327","41,137","43,084",257,2.0,4.7,150,
"Gadsden, AL","34,792","35,542","36,918",364,2.2,3.9,298,
"Gainesville, FL","39,134","40,958","42,663",265,4.7,4.2,260,
"Gainesville, GA","39,946","41,856","43,701",243,4.8,4.4,207,
"Gettysburg, PA","45,343","47,020","49,173",132,3.7,4.6,179,
"Glens Falls, NY","42,591","45,033","46,411",178,5.7,3.1,364,
"Goldsboro, NC","35,607","37,309","38,472",347,4.8,3.1,361,
"Grand Forks, ND-MN","47,159","48,339","50,670",110,2.5,4.8,135,
"Grand Island, NE","40,833","42,186","43,817",240,3.3,3.9,299,
"Grand Junction, CO","39,828","42,239","44,935",213,6.1,6.4,23,
"Grand Rapids-Kentwood, MI","46,966","47,989","50,463",113,2.2,5.2,97,
"Grants Pass, OR","37,775","39,166","40,977",296,3.7,4.6,172,
"Great Falls, MT","43,955","45,291","47,518",155,3.0,4.9,119,
"Greeley, CO","43,632","44,173","46,172",184,1.2,4.5,189,
"Green Bay, WI","47,531","49,262","51,553",102,3.6,4.7,164,
"Greensboro-High Point, NC","40,477","41,701","43,189",254,3.0,3.6,335,
"Greenville, NC","38,611","39,873","41,191",291,3.3,3.3,348,
"Greenville-Anderson, SC","40,902","42,650","44,213",228,4.3,3.7,323,
"Gulfport-Biloxi, MS","35,316","35,672","36,878",366,1.0,3.4,346,
"Hagerstown-Martinsburg, MD-WV","41,213","42,144","43,897",237,2.3,4.2,263,
"Hammond, LA","36,690","37,474","38,974",336,2.1,4.0,286,
"Hanford-Corcoran, CA","33,457","34,323","35,306",377,2.6,2.9,371,
"Harrisburg-Carlisle, PA","48,165","49,987","52,354",91,3.8,4.7,149,
"Harrisonburg, VA","36,730","38,469","39,721",325,4.7,3.3,351,
"Hartford-East Hartford-Middletown, CT","59,902","61,464","64,337",21,2.6,4.7,159,
"Hattiesburg, MS","36,115","37,066","38,648",343,2.6,4.3,236,
"Hickory-Lenoir-Morganton, NC","36,542","38,119","39,849",322,4.3,4.5,183,
"Hilton Head Island-Bluffton, SC","48,856","50,351","53,056",85,3.1,5.4,71,
"Hinesville, GA","31,556","32,322","33,744",379,2.4,4.4,210,
"Homosassa Springs, FL","35,856","36,614","37,920",354,2.1,3.6,336,
"Hot Springs, AR","37,226","38,629","40,004",318,3.8,3.6,339,
"Houma-Thibodaux, LA","40,980","41,605","44,127",230,1.5,6.1,36,
"Houston-The Woodlands-Sugar Land, TX","50,671","53,479","56,077",62,5.5,4.9,128,
"Huntington-Ashland, WV-KY-OH","36,513","37,901","40,299",312,3.8,6.3,24,
"Huntsville, AL","46,183","47,442","49,595",127,2.7,4.5,184,
"Idaho Falls, ID","41,908","43,646","45,477",205,4.1,4.2,252,
"Indianapolis-Carmel-Anderson, IN","50,950","52,221","54,179",74,2.5,3.7,314,
"Iowa City, IA","49,096","50,819","53,280",82,3.5,4.8,133,
"Ithaca, NY","40,989","43,466","45,282",209,6.0,4.2,254,
"Jackson, MI","37,336","38,031","39,832",323,1.9,4.7,148,
"Jackson, MS","41,623","42,035","43,772",242,1.0,4.1,264,
"Jackson, TN","37,782","38,565","40,226",315,2.1,4.3,229,
"Jacksonville, FL","45,572","47,830","49,754",123,5.0,4.0,281,
"Jacksonville, NC","45,907","44,836","46,142",186,-2.3,2.9,369,
"Janesville-Beloit, WI","40,968","42,189","44,204",229,3.0,4.8,141,
"Jefferson City, MO","40,376","42,259","43,802",241,4.7,3.7,327,
"Johnson City, TN","37,636","38,673","40,360",309,2.8,4.4,219,
"Johnstown, PA","39,656","40,721","43,420",248,2.7,6.6,15,
"Jonesboro, AR","34,375","35,330","36,588",368,2.8,3.6,338,
"Joplin, MO","37,607","38,856","39,765",324,3.3,2.3,378,
"Kahului-Wailuku-Lahaina, HI","45,194","47,322","49,040",135,4.7,3.6,329,
"Kalamazoo-Portage, MI","45,350","46,675","48,723",141,2.9,4.4,214,
"Kankakee, IL","38,347","39,602","41,290",290,3.3,4.3,238,
"Kansas City, MO-KS","50,168","51,717","53,788",80,3.1,4.0,284,
